id,Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
93,Guam,GUM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
94,Guyana,GUY,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,4.64E+11,4.91E+11,5.62E+11,6.44E+11,
95,Ingreso alto,HIC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
96,"Hong Kong, Región Administrativa Especial",HKG,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.05E+13,1.09E+13,1.15E+13,1.22E+13,
97,Honduras,HND,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.19E+11,3.42E+11,3.82E+11,4.52E+11,
98,Países pobres muy endeudados (PPME),HPC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
99,Croacia,HRV,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.61E+11,2.83E+11,2.94E+11,3.28E+11,
100,Haitú,HTI,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.79E+11,3.33E+11,3.78E+11,3.94E+11,
101,Hungría,HUN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.29E+13,2.56E+13,2.77E+13,3.36E+13,
102,Sólo BIRF,IBD,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
103,BIRF y la AIF,IBT,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
104,total de la AIF,IDA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
105,mezcla de la AIF,IDB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
106,Indonesia,IDN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,5.42E+20,5.76E+20,6.14E+20,6.91E+20,
107,Sólo AIF,IDX,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
108,Isla de Man,IMN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
109,India,IND,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.27E+14,1.40E+14,1.55E+14,1.74E+14,
110,No clasificado,INX,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
111,Irlanda,IRL,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
112,"Iran, República Islamica del",IRN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
113,Iraq,IRQ,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,9.29E+13,9.54E+13,1.03E+14,1.20E+14,
114,Islandia,ISL,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.73E+12,1.85E+12,1.97E+12,2.11E+12,
115,Israel,ISR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.09E+12,1.13E+12,1.22E+12,1.49E+12,
116,Italia,ITA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
117,Jamaica,JAM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,9.93E+11,1.09E+12,1.19E+12,1.41E+12,
118,Jordania,JOR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,31910444405,31960368736,33600074149,35527131079,
119,Japón,JPN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.35E+20,1.38E+20,1.41E+19,1.51E+20,
120,Kazajstan,KAZ,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.95E+13,2.08E+13,2.13E+13,2.49E+13,
